;; Language list.
;; Copyright 2021 Wikipedia Contributors.
;; Text is available under the Creative Commons Attribution-ShareAlike 3.0 License (CC BY-SA 3.0);
;; Last retrieved and revised on 2021-09-04.
;; https://en.wikipedia.org/w/index.php?title=List_of_ISO_639-1_codes&oldid=1039913497
;; Top 10 by added text (approximate)
;; 125.84.181.103 · 150,095 (51.2%)
;; Akeosnhaoe · 70,151 (23.9%)
;; Ve4ernik · 39,563 (13.5%)
;; Sl · 12,679 (4.3%)
;; Buhay Tao · 5,129 (1.8%)
;; Zyxw · 3,461 (1.2%)
;; SiBr4 · 3,349 (1.1%)
;; Phi1ip · 2,961 (1%)
;; Tobias Conradi · 2,805 (1%)
;; KirarinSnow · 2,801 (1%)
Language family	ISO language name	Native name	639-1	639-2/T	639-2/B	639-3	Notes
Niger–Congo	Igbo	Asụsụ Igbo	ig	ibo	ibo	ibo	
Sino-Tibetan	Sichuan Yi, Nuosu	ꆈꌠ꒿ Nuosuhxop	ii	iii	iii	iii	Standard form of Yi languages 
Eskimo–Aleut	Inupiaq	Iñupiaq, Iñupiatun	ik	ipk	ipk	ipk + 2	macrolanguage 
Constructed	Ido	Ido	io	ido	ido	ido	constructed by De Beaufront, 1907, as variation of Esperanto 
Indo-European	Icelandic	Íslenska	is	isl	ice	isl	
Indo-European	Italian	Italiano	it	ita	ita	ita	
Eskimo–Aleut	Inuktitut	ᐃᓄᒃᑎᑐᑦ	iu	iku	iku	iku + 2	macrolanguage 
Japonic	Japanese	日本語 (にほんご)	ja	jpn	jpn	jpn	
Austronesian	Javanese	ꦧꦱꦗꦮ, Basa Jawa	jv	jav	jav	jav	
Kartvelian	Georgian	ქართული	ka	kat	geo	kat	
Niger–Congo	Kongo	Kikongo	kg	kon	kon	kon + 3	macrolanguage 
Niger–Congo	Kikuyu, Gikuyu	Gĩkũyũ	ki	kik	kik	kik	
Niger–Congo	Kuanyama, Kwanyama	Kuanyama	kj	kua	kua	kua	
Turkic	Kazakh	қазақ тілі	kk	kaz	kaz	kaz	
Eskimo–Aleut	Kalaallisut, Greenlandic	kalaallisut, kalaallit oqaasii	kl	kal	kal	kal	
Austroasiatic	Central Khmer	ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ	km	khm	khm	khm	also known as Khmer or Cambodian 
Dravidian	Kannada	ಕನ್ನಡ	kn	kan	kan	kan	
Koreanic	Korean	한국어	ko	kor	kor	kor	
Nilo-Saharan	Kanuri	Kanuri	kr	kau	kau	kau + 3	macrolanguage 
Indo-European	Kashmiri	कश्मीरी, كشميري‎	ks	kas	kas	kas	
Indo-European	Kurdish	Kurdî, کوردی‎	ku	kur	kur	kur + 3	macrolanguage 
Uralic	Komi	коми кыв	kv	kom	kom	kom + 2	macrolanguage 
Indo-European	Cornish	Kernewek	kw	cor	cor	cor	
Turkic	Kirghiz, Kyrgyz	Кыргызча, Кыргыз тили	ky	kir	kir	kir	
Indo-European	Latin	latine, lingua latina	la	lat	lat	lat	ancient 
Indo-European	Luxembourgish, Letzeburgesch	Lëtzebuergesch	lb	ltz	ltz	ltz	
Niger–Congo	Ganda	Luganda	lg	lug	lug	lug	
Indo-European	Limburgan, Limburger, Limburgish	Limburgs	li	lim	lim	lim	
Niger–Congo	Lingala	Lingála	ln	lin	lin	lin	
Tai–Kadai	Lao	ພາສາລາວ	lo	lao	lao	lao	
Indo-European	Lithuanian	lietuvių kalba	lt	lit	lit	lit	
Niger–Congo	Luba-Katanga	Kiluba	lu	lub	lub	lub	also known as Luba-Shaba 
Indo-European	Latvian	latviešu valoda	lv	lav	lav	lav + 2	macrolanguage 
Austronesian	Malagasy	fiteny malagasy	mg	mlg	mlg	mlg + 11	macrolanguage 
Austronesian	Marshallese	Kajin M̧ajeļ	mh	mah	mah	mah	
Austronesian	Maori	te reo Māori	mi	mri	mao	mri	also known as Māori 
Indo-European	Macedonian	македонски јазик	mk	mkd	mac	mkd	
Dravidian	Malayalam	മലയാളം	ml	mal	mal	mal	
Mongolic	Mongolian	Монгол хэл	mn	mon	mon	mon + 2	macrolanguage 
Indo-European	Marathi	मराठी	mr	mar	mar	mar	also known as Marāṭhī 
Austronesian	Malay	Bahasa Melayu, بهاس ملايو‎	ms	msa	may	msa + 36	macrolanguage, Standard Malay is zsm, Indonesian is id/ind 
Afro-Asiatic	Maltese	Malti	mt	mlt	mlt	mlt	
Sino-Tibetan	Burmese	ဗမာစာ	my	mya	bur	mya	also known as Myanmar 
Austronesian	Nauru	Dorerin Naoero	na	nau	nau	nau	also known as Nauruan 
Indo-European	Norwegian Bokmål	Norsk Bokmål	nb	nob	nob	nob	Covered by macrolanguage no/nor 
Niger–Congo	North Ndebele	isiNdebele	nd	nde	nde	nde	also known as Northern Ndebele 
Indo-European	Nepali	नेपाली	ne	nep	nep	nep + 2	macrolanguage 
Niger–Congo	Ndonga	Owambo	ng	ndo	ndo	ndo	
Indo-European	Dutch, Flemish	Nederlands, Vlaams	nl	nld	dut	nld	"Flemish is not to be confused with the closely related West Flemish which is referred to as Vlaams (Dutch for ""Flemish"") in ISO 639-3 and has the ISO 639-3code vls "
Indo-European	Norwegian Nynorsk	Norsk Nynorsk	nn	nno	nno	nno	Covered by macrolanguage no/nor 
Indo-European	Norwegian	Norsk	no	nor	nor	nor + 2	macrolanguage, Bokmål is nb/nob, Nynorsk is nn/nno 
Niger–Congo	South Ndebele	isiNdebele	nr	nbl	nbl	nbl	also known as Southern Ndebele 
Dené–Yeniseian	Navajo, Navaho	Diné bizaad	nv	nav	nav	nav	
Niger–Congo	Chichewa, Chewa, Nyanja	chiCheŵa, chinyanja	ny	nya	nya	nya	
Indo-European	Occitan	occitan, lenga d'òc	oc	oci	oci	oci	
Algonquian	Ojibwa	ᐊᓂᔑᓈᐯᒧᐎᓐ	oj	oji	oji	oji + 7	macrolanguage, also known as Ojibwe 
Afro-Asiatic	Oromo	Afaan Oromoo	om	orm	orm	orm + 4	macrolanguage 
Indo-European	Oriya	ଓଡ଼ିଆ	or	ori	ori	ori + 2	macrolanguage, also known as Odia 
Indo-European	Ossetian, Ossetic	ирон ӕвзаг	os	oss	oss	oss	
Indo-European	Punjabi, Panjabi	ਪੰਜਾਬੀ, پنجابی‎	pa	pan	pan	pan	
Indo-European	Pali	पालि, पाळि	pi	pli	pli	pli	ancient, also known as Pāli 
Indo-European	Polish	język polski, polszczyzna	pl	pol	pol	pol	
Indo-European	Pashto, Pushto	پښتو	ps	pus	pus	pus + 3	macrolanguage 
Indo-European	Portuguese	Português	pt	por	por	por	
Quechuan	Quechua	Runa Simi, Kichwa	qu	que	que	que + 43	macrolanguage 
Indo-European	Romansh	Rumantsch Grischun	rm	roh	roh	roh	
Niger–Congo	Rundi	Ikirundi	rn	run	run	run	also known as Kirundi 
Indo-European	Romanian, Moldavian, Moldovan	Română, Moldovenească	ro	ron	rum	ron	The identifiers mo and mol are deprecated, leaving ro and ron (639-2/T) and rum (639-2/B) the current language identifiers to be used for the variant of the Romanian language also known as Moldavian and Moldovan in English and moldave in French. The identifiers mo and mol will not be assigned to different items, and recordings using these identifiers will not be invalid. 
Indo-European	Russian	русский	ru	rus	rus	rus	
Niger–Congo	Kinyarwanda	Ikinyarwanda	rw	kin	kin	kin	
Indo-European	Sanskrit	संस्कृतम्, 𑌸𑌂𑌸𑍍𑌕𑍃𑌤𑌮𑍍	sa	san	san	san	ancient 
Indo-European	Sardinian	sardu	sc	srd	srd	srd + 4	macrolanguage 
Indo-European	Sindhi	सिन्धी, سنڌي، سندھی‎	sd	snd	snd	snd	
Uralic	Northern Sami	Davvisámegiella	se	sme	sme	sme	
Creole	Sango	yângâ tî sängö	sg	sag	sag	sag	
Indo-European	Sinhala, Sinhalese	සිංහල	si	sin	sin	sin	
Indo-European	Slovak	Slovenčina, Slovenský jazyk	sk	slk	slo	slk	
Indo-European	Slovenian	Slovenski jezik, Slovenščina	sl	slv	slv	slv	also known as Slovene 
Austronesian	Samoan	gagana fa'a Samoa	sm	smo	smo	smo	
Niger–Congo	Shona	chiShona	sn	sna	sna	sna	
Afro-Asiatic	Somali	Soomaaliga, af Soomaali	so	som	som	som	
Indo-European	Albanian	Shqip	sq	sqi	alb	sqi + 4	"macrolanguage, ""Albanian Phylozone"" in 639-6 "
Indo-European	Serbian	српски језик	sr	srp	srp	srp	The ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[2] 
Niger–Congo	Swati	SiSwati	ss	ssw	ssw	ssw	also known as Swazi 
Niger–Congo	Southern Sotho	Sesotho	st	sot	sot	sot	
Austronesian	Sundanese	Basa Sunda	su	sun	sun	sun	
Indo-European	Swedish	Svenska	sv	swe	swe	swe	
Niger–Congo	Swahili	Kiswahili	sw	swa	swa	swa + 2	macrolanguage 
Dravidian	Tamil	தமிழ்	ta	tam	tam	tam	
Dravidian	Telugu	తెలుగు	te	tel	tel	tel	
Indo-European	Tajik	тоҷикӣ, toçikī, تاجیکی‎	tg	tgk	tgk	tgk	
Tai–Kadai	Thai	ไทย	th	tha	tha	tha	
Afro-Asiatic	Tigrinya	ትግርኛ	ti	tir	tir	tir	
Turkic	Turkmen	Türkmen, Түркмен	tk	tuk	tuk	tuk	
Austronesian	Tagalog	Wikang Tagalog	tl	tgl	tgl	tgl	Note: Filipino (Pilipino) has the code fil 
Niger–Congo	Tswana	Setswana	tn	tsn	tsn	tsn	
Austronesian	Tonga (Tonga Islands)	Faka Tonga	to	ton	ton	ton	also known as Tongan 
Turkic	Turkish	Türkçe	tr	tur	tur	tur	
Niger–Congo	Tsonga	Xitsonga	ts	tso	tso	tso	
Turkic	Tatar	татар теле, tatar tele	tt	tat	tat	tat	
Niger–Congo	Twi	Twi	tw	twi	twi	twi	Covered by macrolanguage ak/aka 
Austronesian	Tahitian	Reo Tahiti	ty	tah	tah	tah	One of the Reo Mā`ohi (languages of French Polynesia)[3] 
Turkic	Uighur, Uyghur	ئۇيغۇرچە‎, Uyghurche	ug	uig	uig	uig	
Indo-European	Ukrainian	Українська	uk	ukr	ukr	ukr	
Indo-European	Urdu	اردو	ur	urd	urd	urd	
Turkic	Uzbek	Oʻzbek, Ўзбек, أۇزبېك‎	uz	uzb	uzb	uzb + 2	macrolanguage 
Niger–Congo	Venda	Tshivenḓa	ve	ven	ven	ven	
Austroasiatic	Vietnamese	Tiếng Việt	vi	vie	vie	vie	
Constructed	Volapük	Volapük	vo	vol	vol	vol	constructed 
Indo-European	Walloon	Walon	wa	wln	wln	wln	
Niger–Congo	Wolof	Wollof	wo	wol	wol	wol	
Niger–Congo	Xhosa	isiXhosa	xh	xho	xho	xho	
Indo-European	Yiddish	ייִדיש	yi	yid	yid	yid + 2	macrolanguage. Changed in 1989 from original ISO 639:1988, ji.[1] 
Niger–Congo	Yoruba	Yorùbá	yo	yor	yor	yor	
Tai–Kadai	Zhuang, Chuang	Saɯ cueŋƅ, Saw cuengh	za	zha	zha	zha + 16	macrolanguage 
Sino-Tibetan	Chinese	中文 (Zhōngwén), 汉语, 漢語	zh	zho	chi	zho + 16	macrolanguage 
Niger–Congo	Zulu	isiZulu	zu	zul	zul	zul	
